,Date,Time from,Time to,betr. [MW],qual. [MW]
0,14.10.2021,00:00,00:15,-,-
1,14.10.2021,00:15,00:30,-,-
2,14.10.2021,00:30,00:45,-,-
3,14.10.2021,00:45,01:00,-,-
4,14.10.2021,01:00,01:15,-,-
5,14.10.2021,01:15,01:30,-,-
6,14.10.2021,01:30,01:45,-,-
7,14.10.2021,01:45,02:00,-,-
8,14.10.2021,02:00,02:15,-,-
9,14.10.2021,02:15,02:30,-,-
10,14.10.2021,02:30,02:45,-,-
11,14.10.2021,02:45,03:00,-,-
12,14.10.2021,03:00,03:15,-,-
13,14.10.2021,03:15,03:30,-,-
14,14.10.2021,03:30,03:45,-,-
15,14.10.2021,03:45,04:00,-,-
16,14.10.2021,04:00,04:15,-,-
17,14.10.2021,04:15,04:30,-,-
18,14.10.2021,04:30,04:45,-,-
19,14.10.2021,04:45,05:00,-,-
20,14.10.2021,05:00,05:15,-,-
21,14.10.2021,05:15,05:30,-,-
22,14.10.2021,05:30,05:45,-,-
23,14.10.2021,05:45,06:00,-,-
24,14.10.2021,06:00,06:15,-,-
25,14.10.2021,06:15,06:30,-,-
26,14.10.2021,06:30,06:45,-,-
27,14.10.2021,06:45,07:00,-,-
28,14.10.2021,07:00,07:15,-,-
29,14.10.2021,07:15,07:30,-,-
30,14.10.2021,07:30,07:45,-,-
31,14.10.2021,07:45,08:00,-,-
32,14.10.2021,08:00,08:15,-,-
33,14.10.2021,08:15,08:30,-,-
34,14.10.2021,08:30,08:45,-,-
35,14.10.2021,08:45,09:00,-,-
36,14.10.2021,09:00,09:15,-,-
37,14.10.2021,09:15,09:30,-,-
38,14.10.2021,09:30,09:45,-,-
39,14.10.2021,09:45,10:00,-,-
40,14.10.2021,10:00,10:15,-,-
41,14.10.2021,10:15,10:30,-,-
42,14.10.2021,10:30,10:45,-,-
43,14.10.2021,10:45,11:00,-,-
44,14.10.2021,11:00,11:15,-,-
45,14.10.2021,11:15,11:30,-,-
46,14.10.2021,11:30,11:45,-,-
47,14.10.2021,11:45,12:00,-,-
48,14.10.2021,12:00,12:15,-,-
49,14.10.2021,12:15,12:30,-,-
50,14.10.2021,12:30,12:45,-,-
51,14.10.2021,12:45,13:00,-,-
52,14.10.2021,13:00,13:15,-,-
53,14.10.2021,13:15,13:30,-,-
54,14.10.2021,13:30,13:45,-,-
55,14.10.2021,13:45,14:00,-,-
56,14.10.2021,14:00,14:15,-,-
57,14.10.2021,14:15,14:30,-,-
58,14.10.2021,14:30,14:45,-,-
59,14.10.2021,14:45,15:00,-,-
60,14.10.2021,15:00,15:15,-,-
61,14.10.2021,15:15,15:30,-,-
62,14.10.2021,15:30,15:45,-,-
63,14.10.2021,15:45,16:00,-,-
64,14.10.2021,16:00,16:15,-,-
65,14.10.2021,16:15,16:30,-,-
66,14.10.2021,16:30,16:45,-,-
67,14.10.2021,16:45,17:00,-,-
68,14.10.2021,17:00,17:15,-,-
69,14.10.2021,17:15,17:30,-,-
70,14.10.2021,17:30,17:45,-,-
71,14.10.2021,17:45,18:00,-,-
72,14.10.2021,18:00,18:15,-,-
73,14.10.2021,18:15,18:30,-,-
74,14.10.2021,18:30,18:45,-,-
75,14.10.2021,18:45,19:00,-,-
76,14.10.2021,19:00,19:15,-,-
77,14.10.2021,19:15,19:30,-,-
78,14.10.2021,19:30,19:45,-,-
79,14.10.2021,19:45,20:00,-,-
80,14.10.2021,20:00,20:15,-,-
81,14.10.2021,20:15,20:30,-,-
82,14.10.2021,20:30,20:45,-,-
83,14.10.2021,20:45,21:00,-,-
84,14.10.2021,21:00,21:15,-,-
85,14.10.2021,21:15,21:30,-,-
