,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
0,14.10.2021,00:00,00:15,14393,98765,-,-
1,14.10.2021,00:15,00:30,0,98456,-,-
2,14.10.2021,00:30,00:45,747,15234,-,-
3,14.10.2021,00:45,01:00,9280,1952,-,-
4,14.10.2021,01:00,01:15,8082,911,-,-
5,14.10.2021,01:15,01:30,4944,5289,-,-
6,14.10.2021,01:30,01:45,13590,8272,-,-
7,14.10.2021,01:45,02:00,1201,1288,-,-
8,14.10.2021,02:00,02:15,1907,13384,-,-
9,14.10.2021,02:15,02:30,88,15591,-,-
10,14.10.2021,02:30,02:45,70775,578,-,-
11,14.10.2021,02:45,03:00,120302,0,-,-
12,14.10.2021,03:00,03:15,145109,104,-,-
13,14.10.2021,03:15,03:30,180923,0,-,-
14,14.10.2021,03:30,03:45,731,659,-,-
15,14.10.2021,03:45,04:00,1413,256,-,-
16,14.10.2021,04:00,04:15,226,457,-,-
17,14.10.2021,04:15,04:30,223,381,-,-
18,14.10.2021,04:30,04:45,273,6748,-,-
19,14.10.2021,04:45,05:00,7,9926,-,-
20,14.10.2021,05:00,05:15,120290,36,-,-
21,14.10.2021,05:15,05:30,22662,219,-,-
22,14.10.2021,05:30,05:45,10048,2737,-,-
23,14.10.2021,05:45,06:00,22162,317,-,-
24,14.10.2021,06:00,06:15,134864,26926,-,-
25,14.10.2021,06:15,06:30,77745,3739,-,-
26,14.10.2021,06:30,06:45,7927,5818,-,-
27,14.10.2021,06:45,07:00,8766,472,-,-
28,14.10.2021,07:00,07:15,186563,849,-,-
29,14.10.2021,07:15,07:30,5929,6631,-,-
30,14.10.2021,07:30,07:45,1619,4119,-,-
31,14.10.2021,07:45,08:00,1100,21367,-,-
32,14.10.2021,08:00,08:15,3142,2156,-,-
33,14.10.2021,08:15,08:30,2619,2539,-,-
34,14.10.2021,08:30,08:45,1581,2640,-,-
35,14.10.2021,08:45,09:00,18347,451,-,-
36,14.10.2021,09:00,09:15,1916,1142,-,-
37,14.10.2021,09:15,09:30,1934,1772,-,-
38,14.10.2021,09:30,09:45,2198,13554,-,-
39,14.10.2021,09:45,10:00,7966,2143,-,-
40,14.10.2021,10:00,10:15,2475,38156,-,-
41,14.10.2021,10:15,10:30,2009,7000,-,-
42,14.10.2021,10:30,10:45,1419,2302,-,-
43,14.10.2021,10:45,11:00,57130,5503,-,-
44,14.10.2021,11:00,11:15,28433,946,-,-
45,14.10.2021,11:15,11:30,46462,1550,-,-
46,14.10.2021,11:30,11:45,35521,51,-,-
47,14.10.2021,11:45,12:00,50618,6,-,-
48,14.10.2021,12:00,12:15,6892,95117,-,-
49,14.10.2021,12:15,12:30,1763,38632,-,-
50,14.10.2021,12:30,12:45,4942,155246,-,-
51,14.10.2021,12:45,13:00,144821,12,-,-
52,14.10.2021,13:00,13:15,4638,177602,-,-
53,14.10.2021,13:15,13:30,0,235380,-,-
54,14.10.2021,13:30,13:45,0,247738,-,-
55,14.10.2021,13:45,14:00,4749,14759,-,-
56,14.10.2021,14:00,14:15,4901,92245,-,-
57,14.10.2021,14:15,14:30,86,152981,-,-
58,14.10.2021,14:30,14:45,2777,4426,-,-
59,14.10.2021,14:45,15:00,1999,39868,-,-
60,14.10.2021,15:00,15:15,80918,73,-,-
61,14.10.2021,15:15,15:30,110797,0,-,-
62,14.10.2021,15:30,15:45,69243,0,-,-
63,14.10.2021,15:45,16:00,9752,1912,-,-
64,14.10.2021,16:00,16:15,4137,3501,-,-
65,14.10.2021,16:15,16:30,1230,2136,-,-
66,14.10.2021,16:30,16:45,4926,17372,-,-
67,14.10.2021,16:45,17:00,346,36076,-,-
68,14.10.2021,17:00,17:15,1238,5370,-,-
69,14.10.2021,17:15,17:30,895,14583,-,-
70,14.10.2021,17:30,17:45,460,33546,-,-
71,14.10.2021,17:45,18:00,7,49369,-,-
72,14.10.2021,18:00,18:15,1988,3074,-,-
73,14.10.2021,18:15,18:30,334,52791,-,-
74,14.10.2021,18:30,18:45,311,158003,-,-
75,14.10.2021,18:45,19:00,0,296499,-,-
76,14.10.2021,19:00,19:15,0,431350,-,-
77,14.10.2021,19:15,19:30,914,32388,-,-
78,14.10.2021,19:30,19:45,1303,17390,-,-
79,14.10.2021,19:45,20:00,2120,1913,-,-
80,14.10.2021,20:00,20:15,1085,159971,-,-
81,14.10.2021,20:15,20:30,35062,7075,-,-
82,14.10.2021,20:30,20:45,1612,3811,-,-
83,14.10.2021,20:45,21:00,7967,12519,-,-
84,14.10.2021,21:00,21:15,14158,67763,-,-
85,14.10.2021,21:15,21:30,868,70735,-,-
